+-----------+----------------------------------------------------------------------+--------+------+
|  IMDb_id  |                                Title                                 | Rating | Year |
| tt0118617 | Anastasia                                                            | 7.1    | 1997 |
| tt0108160 | Sleepless in Seattle                                                 | 6.8    | 1993 |
| tt0356910 | Mr. & Mrs. Smith                                                     | 6.5    | 2005 |
| tt0457939 | The Holiday                                                          | 6.9    | 2006 |
| tt0120591 | Armageddon                                                           | 6.7    | 1998 |
| tt0327084 | Over the Hedge                                                       | 6.7    | 2006 |
| tt1667889 | Ice Age: Continental Drift                                           | 6.5    | 2012 |
| tt0380623 | The Perfect Man                                                      | 5.4    | 2005 |
| tt0348150 | Superman Returns                                                     | 6.1    | 2006 |
| tt0099810 | The Hunt for Red October                                             | 7.6    | 1990 |
| tt0112697 | Clueless                                                             | 6.9    | 1995 |
| tt0453451 | Mr. Bean's Holiday                                                   | 6.4    | 2007 |
| tt0086034 | Octopussy                                                            | 6.5    | 1983 |
| tt0117060 | Mission: Impossible                                                  | 7.1    | 1996 |
| tt0824747 | Changeling                                                           | 7.8    | 2008 |
| tt1020558 | Centurion                                                            | 6.3    | 2010 |
| tt0356470 | A Cinderella Story                                                   | 5.9    | 2004 |
| tt0125439 | Notting Hill                                                         | 7.2    | 1999 |
| tt1389137 | We Bought a Zoo                                                      | 7.1    | 2011 |
| tt0821640 | Ghosts of Girlfriends Past                                           | 5.8    | 2009 |
| tt1230414 | It's Complicated                                                     | 6.5    | 2009 |
| tt0756683 | The Man from Earth                                                   | 7.9    | 2007 |
| tt0393162 | Coach Carter                                                         | 7.3    | 2005 |
| tt1080016 | Ice Age: Dawn of the Dinosaurs                                       | 6.9    | 2009 |
| tt0830515 | Quantum of Solace                                                    | 6.6    | 2008 |
| tt1078912 | Night at the Museum: Battle of the Smithsonian                       | 6.0    | 2009 |
| tt0385726 | Glory Road                                                           | 7.2    | 2006 |
| tt0120623 | A Bug's Life                                                         | 7.2    | 1998 |
| tt0489099 | Jumper                                                               | 6.1    | 2008 |
| tt0211933 | Awake                                                                | 6.5    | 2007 |
| tt1074638 | Skyfall                                                              | 7.8    | 2012 |
| tt0993846 | The Wolf of Wall Street                                              | 8.2    | 2013 |
| tt0319262 | The Day After Tomorrow                                               | 6.4    | 2004 |
| tt1194173 | The Bourne Legacy                                                    | 6.6    | 2012 |
| tt0382625 | The Da Vinci Code                                                    | 6.6    | 2006 |
| tt0185937 | The Blair Witch Project                                              | 6.5    | 1999 |
| tt1614989 | Hodejegerne                                                          | 7.5    | 2011 |
| tt0118689 | Bean                                                                 | 6.5    | 1997 |
| tt0246460 | Die Another Day                                                      | 6.1    | 2002 |
| tt0265208 | The Girl Next Door                                                   | 6.7    | 2004 |
| tt0138749 | The Road to El Dorado                                                | 6.9    | 2000 |
| tt0477347 | Night at the Museum                                                  | 6.4    | 2006 |
| tt0813715 | Heroes                                                               | 7.6    | 2006 |
| tt0118571 | Air Force One                                                        | 6.5    | 1997 |
| tt0277434 | We Were Soldiers                                                     | 7.1    | 2002 |
| tt0213149 | Pearl Harbor                                                         | 6.2    | 2001 |
| tt0499448 | The Chronicles of Narnia: Prince Caspian                             | 6.5    | 2008 |
| tt1723121 | We're the Millers                                                    | 7.0    | 2013 |
| tt0187078 | Gone in Sixty Seconds                                                | 6.5    | 2000 |
| tt0489237 | The Nanny Diaries                                                    | 6.2    | 2007 |
| tt0118998 | Doctor Dolittle                                                      | 5.4    | 1998 |
| tt0110413 | Léon                                                                 | 8.5    | 1994 |
| tt0159273 | Behind Enemy Lines                                                   | 6.4    | 2001 |
| tt1092634 | Shanghai                                                             | 6.4    | 2010 |
| tt0429493 | The A-Team                                                           | 6.7    | 2010 |
| tt0449010 | Eragon                                                               | 5.1    | 2006 |
| tt1615147 | Margin Call                                                          | 7.1    | 2011 |
| tt0241527 | Harry Potter and the Sorcerer's Stone                                | 7.6    | 2001 |
| tt0361696 | Raise Your Voice                                                     | 5.8    | 2004 |
| tt0948470 | The Amazing Spider-Man                                               | 6.9    | 2012 |
| tt0335438 | Starsky & Hutch                                                      | 6.1    | 2004 |
| tt0325710 | The Last Samurai                                                     | 7.8    | 2003 |
| tt0120755 | Mission: Impossible II                                               | 6.1    | 2000 |
| tt2024544 | 12 Years a Slave                                                     | 8.1    | 2013 |
| tt0258000 | Panic Room                                                           | 6.8    | 2002 |
| tt0350028 | Raising Helen                                                        | 6.0    | 2004 |
| tt0055254 | One Hundred and One Dalmatians                                       | 7.3    | 1961 |
| tt0090264 | A View to a Kill                                                     | 6.3    | 1985 |
| tt0280486 | Bad Company                                                          | 5.6    | 2002 |
| tt1022603 | (500) Days of Summer                                                 | 7.7    | 2009 |
